CODE,ADDITIVE_CODE,ONLY_CODE,HEALTH,HALAL,CLASS
E370,E370,370,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E480,E480,480,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E296,E296,296,BLACK,NORMAL,KORUYUCULAR
E375,E375,375,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E481*,E481,481,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E297,E297,297,BLACK,NORMAL,KORUYUCULAR
E380,E380,380,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E482*,E482,482,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E381,E381,381,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E483*,E483,483,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E385,E385,385,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E491*,E491,491,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E492*,E492,492,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E493*,E493,493,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E494*,E494,494,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E495*,E495,495,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E500,E500,500,BLACK,NORMAL,INCELTICILER
E620*,E620,620,BLACK,VITAL_1,"AROMALAR, TAT VERICILER"
E900*,E900,900,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E501,E501,501,BLACK,NORMAL,INCELTICILER
E621*,E621,621,BLACK,VITAL_1,"AROMALAR, TAT VERICILER"
E901*,E901,901,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E503,E503,503,BLACK,NORMAL,INCELTICILER
E622**,E622,622,BLACK,VITAL_2,"AROMALAR, TAT VERICILER"
E903,E903,903,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E504,E504,504,BLACK,NORMAL,INCELTICILER
E623*,E623,623,BLACK,VITAL_1,"AROMALAR, TAT VERICILER"
E904**,E904,904,BLACK,VITAL_2,"PARLATICILAR, TATLANDIRICILAR"
E507,E507,507,BLACK,NORMAL,INCELTICILER
E624*,E624,624,BLACK,VITAL_1,"AROMALAR, TAT VERICILER"
E905*,E905,905,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E508,E508,508,BLACK,NORMAL,INCELTICILER
E625*,E625,625,BLACK,VITAL_1,"AROMALAR, TAT VERICILER"
E907*,E907,907,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E509,E509,509,BLACK,NORMAL,INCELTICILER
E626,E626,626,BLACK,NORMAL,"AROMALAR, TAT VERICILER"
E910**,E910,910,BLACK,VITAL_2,"PARLATICILAR, TATLANDIRICILAR"
E510,E510,510,BLACK,NORMAL,INCELTICILER
E627,E627,627,BLACK,NORMAL,"AROMALAR, TAT VERICILER"
E913*,E913,913,BLACK,VITAL_1,"PARLATICILAR, TATLANDIRICILAR"
E511,E511,511,BLACK,NORMAL,INCELTICILER
E629,E629,629,BLACK,NORMAL,"AROMALAR, TAT VERICILER"
E920**,E920,920,BLACK,VITAL_2,"PARLATICILAR, TATLANDIRICILAR"
E513,E513,513,BLACK,NORMAL,INCELTICILER
E631*,E631,631,BLACK,VITAL_1,"AROMALAR, TAT VERICILER"
E921**,E921,921,BLACK,VITAL_2,"PARLATICILAR, TATLANDIRICILAR"
E514,E514,514,BLACK,NORMAL,INCELTICILER
E633*,E633,633,BLACK,VITAL_1,"AROMALAR, TAT VERICILER"
E924,E924,924,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E515,E515,515,BLACK,NORMAL,INCELTICILER
E635*,E635,635,BLACK,VITAL_1,"AROMALAR, TAT VERICILER"
E925,E925,925,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E516,E516,516,BLACK,NORMAL,INCELTICILER
E636*,E636,636,BLACK,VITAL_1,"AROMALAR, TAT VERICILER"
E926,E926,926,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E518,E518,518,BLACK,NORMAL,INCELTICILER
E637*,E637,637,BLACK,VITAL_1,"AROMALAR, TAT VERICILER"
E927,E927,927,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E519,E519,519,BLACK,NORMAL,INCELTICILER
E640*,E640,640,BLACK,VITAL_1,"AROMALAR, TAT VERICILER"
E928,E928,928,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E524,E524,524,BLACK,NORMAL,INCELTICILER
E931,E931,931,BLACK,NORMAL,"PARLATICILAR, TATLANDIRICILAR"
E525,E525,525,BLACK,NORMAL,INCELTICILER
